snum,dnum,api00,api99,growth,meals,ell,yr_rnd,mobility,acs_k3,acs_46,not_hsg,hsg,some_col,col_grad,grad_sch,avg_ed,full,emer,enroll,mealcat,collcat
3945,131,523,452,71,69,43,1,31,19,29,32,34,18,12,4,2.220000029,71,29,645,1,1
3947,131,678,632,46,37,16,1,16,20,32,12,27,29,27,6,2.869999886,83,15,694,0,2
3948,131,712,677,35,40,12,1,19,19,30,14,30,31,19,6,2.710000038,85,12,589,0,2
3952,131,619,570,49,57,25,1,24,19,31,19,25,29,20,6,2.680000067,75,25,611,1,2
3954,131,713,704,9,29,14,1,14,20,30,11,29,28,26,7,2.880000114,80,15,594,0,2
3956,131,805,759,46,10,1,0,26,21,31,2,16,41,29,12,3.309999943,93,7,770,0,2
4017,238,483,444,39,79,40,1,24,20,28,37,27,27,7,3,2.130000114,87,13,672,1,2
4128,627,643,622,21,82,24,1,19,20,27,30,35,22,9,4,2.230000019,85,18,522,2,1
4131,627,698,686,12,62,29,1,15,20,32,19,33,22,19,7,2.619999886,98,0,583,1,1
4132,627,493,471,22,94,41,1,33,20,32,53,27,15,4,1,1.710000038,73,29,590,2,1
4136,627,474,437,37,92,34,1,28,20,31,48,31,17,3,0,1.769999981,81,19,470,2,1
4140,627,630,550,80,67,21,1,21,20,32,25,28,30,12,4,2.420000076,85,13,607,1,2
4143,627,485,448,37,94,40,1,37,19,32,60,23,14,3,1,1.610000014,76,18,583,2,0
4145,627,525,519,6,78,18,1,25,20,31,23,32,30,10,4,2.400000095,86,14,439,1,2
4167,627,612,551,61,75,26,0,16,20,32,28,24,34,11,3,2.380000114,100,5,277,1,2
4173,627,486,476,10,95,40,1,24,20,34,55,31,12,2,0,1.610000014,87,15,645,2,0
4271,98,918,864,54,5,2,0,16,19,28,1,4,18,34,43,4.130000114,100,0,303,0,1
4284,98,858,844,14,10,3,0,10,20,33,1,8,24,36,31,3.890000105,100,0,343,0,1
4292,135,754,748,6,25,25,0,18,20,27,13,40,33,0,13,2.599999905,100,4,309,0,2
4293,135,655,632,23,65,44,0,21,20,29,0,0,0,0,0,NA,100,0,414,1,0
4296,135,505,452,53,75,59,0,27,19,30,0,0,0,0,0,NA,94,6,504,1,0
4299,135,523,441,82,74,52,1,23,19,28,0,0,0,100,0,4,87,13,631,1,0
4302,135,657,579,78,67,36,0,17,19,30,22,44,33,0,0,2.109999895,100,0,500,1,2
4304,135,490,431,59,71,54,0,25,23,30,0,0,0,0,0,NA,65,43,748,1,0
4307,135,603,520,83,71,54,0,19,19,30,50,25,25,0,0,1.75,88,15,594,1,2
4308,135,698,680,18,44,18,0,21,19,29,100,0,0,0,0,1,100,0,527,0,0
4314,135,705,655,50,46,42,0,32,17,27,0,0,0,100,0,4,96,0,320,0,0
4317,135,762,744,18,18,16,0,15,20,30,0,100,0,0,0,2,100,0,512,0,0
4318,135,521,473,48,74,63,0,15,19,31,0,0,0,0,0,NA,94,3,343,1,0
4319,135,709,701,8,18,16,0,20,17,27,0,0,0,0,0,NA,96,7,404,0,0
4322,135,722,684,38,11,21,0,20,20,28,0,0,0,0,0,NA,95,5,637,0,0
4427,575,802,784,18,21,11,0,11,18,32,8,9,35,29,20,3.430000067,100,0,541,0,2
4431,575,858,826,32,6,5,0,21,20,29,0,6,24,38,31,3.940000057,100,2,672,0,1
4435,575,863,839,24,5,10,0,12,18,33,0,4,16,40,40,4.159999847,100,7,393,0,1
4443,575,875,848,27,4,9,0,9,19,29,0,2,16,43,38,4.170000076,100,0,606,0,1
4448,575,903,884,19,2,12,0,7,20,28,1,2,10,40,47,4.320000172,100,0,696,0,0
4449,575,844,848,-4,3,13,0,15,19,28,0,3,21,41,34,4.050000191,100,0,462,0,1
4480,630,612,528,84,79,34,0,15,20,31,26,31,25,14,4,2.380000114,82,7,354,1,2
4485,630,567,524,43,81,45,0,26,18,25,45,31,18,5,1,1.879999995,97,3,400,2,1
4486,630,706,701,5,62,15,0,13,21,28,12,27,27,29,6,2.900000095,100,2,645,1,2
4487,630,528,476,52,91,68,1,10,18,27,47,28,14,8,4,1.940000057,81,4,459,2,0
4488,630,521,568,-47,97,77,0,14,19,NA,61,18,15,4,1,1.679999948,79,4,210,2,1
4502,630,493,489,4,91,71,0,27,19,30,70,19,8,3,1,1.460000038,87,7,410,2,0
4506,630,709,619,90,59,17,0,20,16,33,10,25,36,20,9,2.940000057,100,0,135,1,2
4507,630,751,679,72,71,19,0,20,17,20,10,16,41,16,18,3.160000086,100,0,130,1,2
4511,630,626,626,0,79,36,0,11,19,33,24,29,28,14,6,2.49000001,92,8,159,1,2
4514,630,799,789,10,38,10,0,14,19,30,5,18,29,26,21,3.400000095,100,0,378,0,2
4516,630,586,529,57,93,59,0,21,20,32,53,35,8,4,0,1.649999976,90,3,763,2,0
4518,630,769,723,46,47,6,0,13,19,25,7,18,36,20,19,3.25,96,4,295,1,2
4519,630,887,852,35,19,8,0,10,19,27,3,14,19,33,31,3.74000001,100,0,256,0,1
4522,630,461,441,20,100,74,0,22,19,31,55,31,10,3,1,1.649999976,85,3,726,2,0
4528,630,741,700,41,44,18,0,17,20,33,5,21,41,22,11,3.130000114,100,2,353,0,2
4530,630,757,723,34,58,14,0,16,18,30,6,17,36,30,10,3.210000038,98,4,525,1,2
4533,630,500,463,37,95,69,0,24,19,26,45,29,12,8,5,1.99000001,97,0,350,2,0
4534,630,445,421,24,100,70,0,NA,NA,29,44,25,15,13,3,2.069999933,90,0,512,2,1
4537,630,655,614,41,78,27,0,16,19,32,21,26,32,16,7,2.619999886,100,0,438,1,2
4539,630,620,621,-1,71,23,0,14,20,31,12,33,24,22,9,2.839999914,41,59,216,1,1
4547,630,803,751,52,48,18,0,17,18,29,9,22,36,24,8,3,100,0,266,1,2
4554,630,836,785,51,29,27,0,17,19,32,19,13,8,26,33,3.410000086,100,0,231,0,0
4558,630,748,684,64,62,21,0,11,18,29,11,20,39,21,9,2.980000019,95,5,253,1,2
4573,630,789,747,42,41,27,0,16,20,30,12,26,25,32,5,2.920000076,100,2,575,0,2
4574,630,740,672,68,54,18,0,14,20,33,10,21,33,28,9,3.049999952,100,0,612,1,2
4576,630,801,762,39,32,18,0,14,20,30,7,22,29,33,9,3.150000095,98,0,548,0,2
4580,630,740,712,28,66,2,0,19,19,29,2,27,44,23,4,3,100,0,543,1,2
4581,630,708,691,17,74,2,0,24,19,30,1,55,31,10,4,2.609999895,98,2,603,1,2
4583,630,865,837,28,40,8,0,17,19,30,4,17,27,29,23,3.50999999,100,0,344,0,2
4585,630,845,843,2,31,24,0,25,19,31,3,5,11,27,54,4.239999771,100,0,469,0,0
4596,630,883,864,19,4,3,0,9,20,30,1,10,9,52,28,3.980000019,97,3,556,0,0
4698,632,781,750,31,28,26,0,9,20,29,7,14,17,38,24,3.599999905,95,5,280,0,1
4714,632,503,504,-1,68,29,0,10,18,21,31,38,17,13,1,2.140000105,83,13,206,1,1
4720,632,597,576,21,71,37,0,8,17,30,19,53,17,11,1,2.210000038,81,0,197,1,1
4729,632,558,496,62,82,41,0,8,19,20,47,37,7,6,3,1.799999952,90,0,189,2,0
4731,632,655,635,20,56,28,0,13,18,32,9,26,34,20,12,3.019999981,82,14,267,1,2
4736,632,532,450,82,83,39,0,10,18,28,22,39,24,15,0,2.329999924,69,21,335,2,1
4737,632,808,812,-4,61,26,0,7,21,32,8,33,23,32,4,2.930000067,81,11,329,1,1
4744,632,700,666,34,78,44,0,5,20,25,31,38,15,13,3,2.170000076,78,6,215,1,1
4747,632,643,661,-18,72,13,0,12,19,27,9,36,35,16,4,2.680000067,94,6,229,1,2
4774,632,682,641,41,35,22,0,2,19,27,4,9,14,45,28,3.839999914,80,0,222,0,0
4775,632,808,806,2,14,5,0,3,19,29,1,7,12,35,45,4.150000095,87,10,448,0,0
4777,632,682,675,7,75,6,0,10,19,25,0,36,29,29,7,3.069999933,63,26,240,1,2
4780,632,795,781,14,15,6,0,5,19,30,0,6,14,43,36,4.079999924,77,17,404,0,0
4781,632,655,638,17,53,12,0,7,20,23,9,74,11,4,1,2.140000105,94,0,187,1,0
4783,632,789,730,59,20,11,0,4,19,25,2,7,17,37,37,3.99000001,76,10,237,0,1
4859,716,592,556,36,80,33,0,22,18,27,22,31,29,16,2,2.450000048,92,8,532,1,2
4862,716,516,433,83,100,35,1,33,18,25,32,26,25,13,4,2.309999943,72,21,704,2,2
4868,716,610,520,90,84,34,0,27,20,27,27,39,15,18,1,2.269999981,82,12,331,2,1
4871,716,554,513,41,84,24,0,23,19,26,75,9,10,5,1,1.470000029,83,12,535,2,0
4875,716,504,451,53,90,46,1,19,20,26,33,17,20,20,10,2.569999933,83,17,657,2,1
4876,716,487,443,44,86,26,0,26,18,21,50,0,0,50,0,2.5,80,8,300,2,0
4877,716,627,582,45,86,35,1,16,20,25,41,26,22,8,2,2.029999971,80,9,612,2,1
4878,716,465,440,25,90,27,0,21,21,26,13,25,40,17,4,2.730000019,74,15,466,2,2
4879,716,529,482,47,83,28,0,16,18,23,31,23,29,14,4,2.369999886,80,13,352,2,2
4880,716,625,578,47,59,8,1,19,19,28,18,44,25,13,1,2.359999895,93,5,559,1,2
4881,716,436,415,21,100,49,0,19,19,24,40,20,13,28,0,2.279999971,80,17,363,2,0
5210,166,792,779,13,9,3,0,19,20,31,2,5,17,38,38,4.050000191,84,0,467,0,1
5217,166,887,882,5,3,5,0,14,21,31,0,4,7,32,57,4.420000076,93,10,520,0,0
5222,166,940,917,23,0,2,0,3,20,31,0,0,4,28,67,4.619999886,90,0,305,0,0
5358,635,575,578,-3,56,50,0,19,18,30,32,24,24,14,5,2.369999886,92,0,257,1,1
5362,635,487,454,33,62,47,0,21,18,27,28,44,14,13,1,2.140000105,86,9,310,1,0
5366,635,558,508,50,57,47,0,22,17,30,41,30,18,9,2,2.019999981,100,0,327,1,1
5370,635,790,753,37,17,10,0,17,18,28,5,17,28,38,11,3.329999924,96,4,350,0,2
5371,635,710,684,26,37,23,0,18,20,27,16,18,28,17,21,3.089999914,71,8,344,0,2
5386,635,876,796,80,9,3,0,14,19,33,2,5,13,54,27,3.99000001,96,0,387,0,0
5387,635,892,861,31,2,3,0,13,19,31,0,3,10,46,40,4.230000019,78,5,602,0,0
5388,635,686,658,28,28,23,0,13,18,31,6,15,33,27,18,3.359999895,95,5,281,0,2
5917,779,735,672,63,42,4,0,16,19,29,8,42,24,20,7,2.75,100,0,360,0,1
5920,779,654,581,73,48,15,0,16,18,31,21,35,21,19,4,2.5,100,0,364,1,1
5926,779,469,483,-14,91,54,0,17,18,28,52,36,6,6,0,1.659999967,100,3,391,2,0
5927,779,576,518,58,68,26,1,21,19,29,36,37,16,9,2,2.029999971,96,4,657,1,1
5933,779,515,468,47,91,28,0,32,17,26,40,45,11,4,0,1.789999962,88,12,218,2,0
6057,689,641,616,25,45,17,0,13,20,32,50,0,0,50,0,2.5,100,0,657,0,0
6060,689,738,708,30,18,2,0,13,19,30,0,0,0,100,0,4,97,3,392,0,0
6062,689,750,730,20,21,4,0,15,19,31,0,0,0,0,0,NA,100,0,397,0,0
6065,689,772,745,27,11,2,0,16,18,28,0,0,0,0,0,NA,96,0,374,0,0
6068,689,714,672,42,45,21,0,13,18,28,50,50,0,0,0,1.5,96,0,368,0,0
6072,689,865,843,22,5,0,0,4,20,30,0,0,0,0,0,NA,100,0,451,0,0
